銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
1301,極洋,4535.0,353,160.0,生活必需品,ex:2026-03-30|pay:2026-06:150.0
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,4133.0,171,70.6,,ex:2025-07-10|pay:2025-10:70.6
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,409.9,170,6.95,,ex:2025-07-10|pay:2025-10:6.95
1308,上場インデックスファンドＴＯＰＩＸ,4047.0,173,70.0,,ex:2025-07-08|pay:2025-10:70.0
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,54900.0,0,0.0,,
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,432.0,0,0.0,ヘルスケア,
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,2010.0,124,24.9,,ex:2025-07-15|pay:2025-10:24.9
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,722.0,221,15.945,,ex:2025-07-10|pay:2025-10:15.945
131A,ＣＣＮグループ,1737.0,115,20.0,,ex:2026-03-30|pay:2026-06:20.0
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,64070.0,111,712.0,,ex:2025-07-10|pay:2025-10:712.0
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,64280.0,112,723.0,,ex:2025-07-08|pay:2025-10:723.0
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,11970.0,0,0.0,,
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,305.4,351,10.71,,ex:2025-07-08|pay:2025-10:10.71
1326,ＳＰＤＲゴールド・シェア,66610.0,0,0.0,,
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,17165.0,0,0.0,,
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,6400.0,134,86.0,,"ex:2025-08-09|pay:2025-11:42.0, ex:2026-02-09|pay:2026-05:44.0"
