ticker,name,sector
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,N/A
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,N/A
1716,第一カッター興業,資本財
1711,ＳＤＳホールディングス,公益事業
1718,美樹工業,資本財
1717,明豊ファシリティワークス,資本財
171A,ゼロジャパン,資本財
1719,安藤・間,資本財
1720,東急建設,資本財
1721,コムシスホールディングス,資本財
1723,日本電技,情報技術
1724,シンクレイヤ,情報技術
1726,ビーアールホールディングス,資本財
172A,ネオホーム,N/A
173A,ハンモック,情報技術
1758,太洋基礎工業,資本財
1736,オーテック,資本財
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報技術
1764,工藤建設,資本財
1766,東建コーポレーション,不動産
1762,高松コンストラクショングループ,資本財
1768,ソネック,資本財
1773,ワイ・ティー・エル・コーポレーション・バーハッド,公益事業
1770,藤田エンジニアリング,資本財
1776,三井住建道路,資本財
177A,コージンバイオ,ヘルスケア
1780,ヤマウラ,資本財
1786,オリエンタル白石,資本財
1783,ｆａｎｔａｓｉｓｔａ,不動産
1787,ナカボーテック,資本財
178A,グローバルＸ　革新的優良企業　ＥＴＦ,N/A
1788,三東工業社,資本財
1793,大本組,資本財
1795,マサル,資本財
1798,守谷商会,資本財
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,N/A
1799,第一建設工業,資本財
1801,大成建設,資本財
1803,清水建設,資本財
1802,大林組,資本財
1807,佐藤渡辺,資本財
1808,長谷工コーポレーション,一般消費財
180A,グローバルＸ　超長期米国債　ＥＴＦ,N/A
1810,松井建設,資本財
1811,錢高組,資本財
1812,鹿島建設,資本財
1814,大末建設,不動産
1813,不動テトラ,資本財
1815,鉄建建設,資本財
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,N/A
1820,西松建設,資本財
1822,大豊建設,資本財
1826,佐田建設,資本財
1827,ナカノフドー建設,資本財
1828,田辺工業,資本財
1833,奥村組,資本財
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,N/A
1835,東鉄工業,資本財
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,N/A
1840,土屋ホールディングス,一般消費財
1847,イチケン,不動産
1841,サンユー建設,資本財
1844,大盛工業,資本財
1848,富士ピー・エス,資本財
184A,学びエイド,N/A
1850,南海辰村建設,資本財
1852,淺沼組,資本財
185A,リサイクルテック・ジャパン,N/A
1853,森組,資本財
1860,戸田建設,資本財
1861,熊谷組,資本財
1866,北野建設,資本財
186A,アストロスケールホールディングス,資本財
1867,植木組,資本財
1870,矢作建設工業,資本財
1871,ピーエス・コンストラクション,資本財
1873,日本ハウスホールディングス,一般消費財
1878,大東建託,不動産
1879,新日本建設,資本財
1885,東亜建設工業,資本財
1882,東亜道路工業,資本財
1887,日本国土開発,資本財
1888,若築建設,資本財
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,N/A
1897,金下建設,資本財
1893,五洋建設,資本財
1898,世紀東急工業,資本財
189A,Ｄ＆Ｍカンパニー,ヘルスケア
1899,福田組,資本財
1904,大成温調,資本財
1905,テノックス,資本財
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,ヘルスケア
1909,日本ドライケミカル,資本財
1911,住友林業,一般消費財
1921,巴コーポレーション,資本財
1914,日本基礎技術,資本財
191A,ミモザ,ヘルスケア
1925,大和ハウス工業,不動産
1928,積水ハウス,一般消費財
1929,日特建設,資本財
1926,ライト工業,資本財
192A,インテグループ,金融
1930,北陸電気工事,資本財
1934,ユアテック,資本財
1938,日本リーテック,資本財
1939,四電工,資本財
1944,きんでん,資本財
1941,中電工,資本財
1942,関電工,資本財
1945,東京エネシス,資本財
1949,住友電設,資本財
1946,トーエネック,資本財
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,ヘルスケア
1948,弘電社,資本財
1952,新日本空調,資本財
1951,エクシオグループ,資本財
1950,日本電設工業,資本財
1959,クラフティア,資本財
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,情報技術
1960,サンテック,資本財
1961,三機工業,資本財
1964,中外炉工業,資本財
1965,テクノ菱和,資本財
1963,日揮ホールディングス,資本財
1966,高田工業所,資本財
1968,太平電業,資本財
1967,ヤマト,資本財
196A,ＭＦＳ,金融
1969,高砂熱学工業,資本財
1975,朝日工業社,資本財
1979,大氣社,資本財
1976,明星工業,資本財
1972,三晃金属工業,資本財
197A,タウンズ,ヘルスケア
1981,協和日成,資本財
1980,ダイダン,資本財
198A,ＰｏｓｔＰｒｉｍｅ,情報技術
1982,日比谷総合設備,資本財
1994,高橋カーテンウォール工業,資本財
1992,神田通信機,情報技術
199A,メディエア,N/A
1997,暁飯島工業,資本財
2001,ニップン,生活必需品
2003,日東富士製粉,生活必需品
2002,日清製粉グループ本社,生活必需品
2004,昭和産業,生活必需品
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,N/A
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,N/A
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,N/A
2009,鳥越製粉,生活必需品
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,N/A
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,N/A
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,N/A
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,N/A
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,N/A
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,N/A
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,N/A
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,N/A
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,N/A
202A,豆蔵,情報技術
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,N/A
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,N/A
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,N/A
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,N/A
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,N/A
