銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
1301,極洋,5160,292,130,Consumer Defensive,2025-03-28:130.0
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,3864,169,70.6,N/A,2025-07-10:70.6
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,3826,168,69.5,N/A,2025-07-10:69.5
1308,上場インデックスファンドＴＯＰＩＸ,3786,171,70,N/A,2025-07-08:70.0
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1892,124,24.9,N/A,2025-07-15:24.9
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,474,0,0,Healthcare,No Div
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,52110,0,0,N/A,No Div
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,682.8,205,15.945,N/A,2025-07-10:15.945
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,55380,117,712,N/A,2025-07-10:712.0
131A,ＣＣＮグループ,1737,0,20,N/A,2025-03-28:20.0
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,55650,118,723,N/A,2025-07-08:723.0
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,11155,0,0,N/A,No Div
1326,ＳＰＤＲゴールド・シェア,65010,0,0,N/A,No Div
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,310.3,334,10.71,N/A,2025-07-08:10.71
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,16780,0,0,N/A,No Div
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,5536,141,86,N/A,"2025-08-08:42.0, 2026-02-09:44.0"
132A,アイエヌホールディングス,220,0,0,N/A,No Div
1330,上場インデックスファンド２２５,55650,117,716,N/A,2025-07-08:716.0
1333,マルハニチロ,1492,272,36.666668,Consumer Defensive,"2025-03-28:20.0, 2025-09-29:16.666668"
1332,ニッスイ,1381,263,30,Consumer Defensive,"2025-03-28:16.0, 2025-09-29:14.0"
133A,グローバルＸ　超短期米国債　ＥＴＦ,1076,379,33,N/A,"2025-05-22:10.0, 2025-07-24:8.0, 2025-09-24:5.0, 2025-11-21:7.0, 2026-01-23:3.0"
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,2067.5,424,91.8,N/A,"2025-05-09:23.3, 2025-08-08:19.9, 2025-11-10:23.1, 2026-02-10:25.5"
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1936,401,84.79,N/A,"2025-05-08:7.4, 2025-07-08:11.87, 2025-09-08:21.29, 2025-11-07:7.34, 2026-01-08:15.27, 2026-03-06:21.62"
1346,ＭＡＸＩＳ　日経２２５上場投信,55270,125,758,N/A,"2025-07-16:390.0, 2026-01-16:368.0"
1348,ＭＡＸＩＳ　トピックス上場投信,3776,180,73.3,N/A,"2025-07-16:38.3, 2026-01-16:35.0"
1349,ＡＢＦ汎アジア債券インデックス・ファンド,17790,0,435.5831,N/A,"2025-07-22:213.7951, 2026-01-22:221.788"
134A,アプライズ,1500,0,0,N/A,No Div
1356,ＴＯＰＩＸベア２倍上場投信,143.3,0,0,N/A,No Div
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,4872,0,0,N/A,No Div
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2406,0,0,Technology,No Div
1358,上場インデックスファンド日経レバレッジ指数,90200,20,219,N/A,2025-07-10:219.0
1360,日経平均ベア２倍上場投信,119.7,0,0,N/A,No Div
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,3357,181,66,N/A,"2025-08-08:33.0, 2026-02-09:33.0"
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,72740,0,0,N/A,No Div
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,123,0,0,N/A,No Div
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,61690,0,0,N/A,No Div
1369,Ｏｎｅ　ＥＴＦ　日経２２５,53600,122,719,N/A,"2025-07-08:364.0, 2026-01-08:355.0"
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,206,0,0,N/A,No Div
136A,三興商事,4330,0,0,N/A,No Div
1375,ユキグニファクトリー,1079,149,16,Consumer Defensive,"2025-03-28:12.0, 2025-09-29:4.0"
1376,カネコ種苗,1490,257,38,Basic Materials,"2025-05-29:27.0, 2025-11-27:11.0"
137A,Ｃｏｃｏｌｉｖｅ,692,0,0,N/A,No Div
1379,ホクト,1953,282,50,Consumer Defensive,"2025-03-28:40.0, 2025-09-29:10.0"
1377,サカタのタネ,4325,183,80,Consumer Defensive,"2025-05-29:45.0, 2025-11-27:35.0"
1380,秋川牧園,1047,95,10,Consumer Defensive,2025-03-28:10.0
1381,アクシーズ,3550,313,112.5,Consumer Defensive,2025-06-27:112.5
1382,ホーブ,1790,277,50,Consumer Defensive,2025-06-27:50.0
1383,ベルグアース,3220,31,10,Consumer Defensive,2025-10-30:10.0
1384,ホクリヨウ,3005,392,70,Consumer Defensive,2025-03-28:70.0
138A,光フードサービス,2894,167,40,Consumer Cyclical,2025-11-27:40.0
1397,ＳＭＤＡＭ　日経２２５上場投信,54010,118,700,N/A,"2025-04-08:340.0, 2025-10-08:360.0"
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1955.5,408,87.2,N/A,"2025-06-06:12.9, 2025-09-08:29.2, 2025-12-08:12.9, 2026-03-06:32.2"
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,2911,224,70.3,N/A,"2025-04-08:30.3, 2025-07-08:6.0, 2025-10-08:30.0, 2026-01-08:4.0"
139A,東日本地所,3350,0,40,N/A,2025-08-28:40.0
1401,エムビーエス,1405,105,13,Industrials,2025-05-29:13.0
1407,ウエストホールディングス,1716,389,100,Utilities,"2025-08-28:65.0, 2026-02-26:35.0"
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,1988,0,0,N/A,No Div
1414,ショーボンドホールディングス,1411,323,48.375,Industrials,"2025-06-27:27.875, 2025-12-29:20.5"
1418,インターライフホールディングス,506,587,25,Industrials,"2025-08-28:10.0, 2026-02-26:15.0"
1417,ミライト・ワン,3701,242,80,Industrials,"2025-03-28:40.0, 2025-09-29:40.0"
141A,トライアルホールディングス,4110,38,16,Consumer Defensive,2025-06-27:16.0
1419,タマホーム,4020,491,195,Consumer Cyclical,2025-05-29:195.0
142A,ジンジブ,677,0,0,Industrials,No Div
1429,日本アクア,702,487,35,Industrials,2025-12-29:35.0
1430,ファーストコーポレーション,1033,424,42,Consumer Cyclical,2025-05-29:42.0
1420,サンヨーホームズ,709,351,25,Consumer Cyclical,2025-03-28:25.0
1431,Ｌｉｂ　Ｗｏｒｋ,652,98,6.4,Real Estate,"2025-03-28:1.6, 2025-06-27:1.6, 2025-09-29:1.6, 2025-12-29:1.6"
1432,動力,174,0,0,N/A,No Div
1434,ＪＥＳＣＯホールディングス,1855,249,40,Industrials,2025-08-28:40.0
1433,ベステラ,1186,419,40,Industrials,"2025-07-30:15.0, 2026-01-29:25.0"
