ticker,name,sector
1301,極洋,生活必需品
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,N/A
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,N/A
1308,上場インデックスファンドＴＯＰＩＸ,N/A
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,N/A
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,ヘルスケア
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,N/A
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,N/A
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,N/A
131A,ＣＣＮグループ,N/A
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,N/A
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,N/A
1326,ＳＰＤＲゴールド・シェア,N/A
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,N/A
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,N/A
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,N/A
132A,アイエヌホールディングス,N/A
1330,上場インデックスファンド２２５,N/A
1333,マルハニチロ,生活必需品
1332,ニッスイ,生活必需品
133A,グローバルＸ　超短期米国債　ＥＴＦ,N/A
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,N/A
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,N/A
1346,ＭＡＸＩＳ　日経２２５上場投信,N/A
1348,ＭＡＸＩＳ　トピックス上場投信,N/A
1349,ＡＢＦ汎アジア債券インデックス・ファンド,N/A
134A,アプライズ,N/A
1356,ＴＯＰＩＸベア２倍上場投信,N/A
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,N/A
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報技術
1358,上場インデックスファンド日経レバレッジ指数,N/A
1360,日経平均ベア２倍上場投信,N/A
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,N/A
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,N/A
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,N/A
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,N/A
1369,Ｏｎｅ　ＥＴＦ　日経２２５,N/A
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,N/A
136A,三興商事,N/A
1375,ユキグニファクトリー,生活必需品
1376,カネコ種苗,素材
137A,Ｃｏｃｏｌｉｖｅ,N/A
1379,ホクト,生活必需品
1377,サカタのタネ,生活必需品
1380,秋川牧園,生活必需品
1381,アクシーズ,生活必需品
1382,ホーブ,生活必需品
1383,ベルグアース,生活必需品
1384,ホクリヨウ,生活必需品
138A,光フードサービス,一般消費財
1397,ＳＭＤＡＭ　日経２２５上場投信,N/A
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,N/A
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,N/A
139A,東日本地所,N/A
1401,エムビーエス,資本財
1407,ウエストホールディングス,公益事業
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,N/A
1414,ショーボンドホールディングス,資本財
1418,インターライフホールディングス,資本財
1417,ミライト・ワン,資本財
141A,トライアルホールディングス,生活必需品
1419,タマホーム,一般消費財
142A,ジンジブ,資本財
1429,日本アクア,資本財
1430,ファーストコーポレーション,一般消費財
1420,サンヨーホームズ,一般消費財
1431,Ｌｉｂ　Ｗｏｒｋ,不動産
1432,動力,N/A
1434,ＪＥＳＣＯホールディングス,資本財
1433,ベステラ,資本財
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産
1438,岐阜造園,資本財
143A,イシン,コミュニケーション・サービス
1436,グリーンエナジー＆カンパニー,資本財
1443,技研ホールディングス,資本財
1445,ひかりホールディングス,N/A
1444,ニッソウ,一般消費財
1447,ＳＡＡＦホールディングス,情報技術
1446,キャンディル,資本財
144A,エネルギーパワー,N/A
1450,ＴＡＮＡＫＥＮ,資本財
1452,横浜ライト工業,N/A
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,N/A
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,N/A
